Date/Time,ZONE_PERI0:Zone Lights Electric Energy [J](Monthly),ZONE_PERI1:Zone Lights Electric Energy [J](Monthly),ZONE_PERI2:Zone Lights Electric Energy [J](Monthly),ZONE_PERI3:Zone Lights Electric Energy [J](Monthly),ZONE_CORE:Zone Lights Electric Energy [J](Monthly),ZONE_PERI0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),ZONE_PERI0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),ZONE_PERI1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),ZONE_PERI1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),ZONE_PERI2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),ZONE_PERI2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),ZONE_PERI3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),ZONE_PERI3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),ZONE_CORE IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),ZONE_CORE IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,288252217,562446255.5,464236718.6,290025118.4,1505433600,4.35E-05,2342572413,3.11E-05,2179011285,2.03E-04,9433246797,3.91E-05,2257534853,1537223682,4.72E-05
February,186903078.4,347760352,296057707.9,178591946.2,1368576000,6.06E-05,3146837995,4.98E-05,2946751822,1.99E-04,10098992860,5.55E-05,3146430098,972057811,6.083658297
March,162032944.8,272353500.3,258378449.5,140039877.6,1573862400,1011.257795,4990207861,1085.06927,4603178197,1606.017036,10596541063,828.5688156,4564098936,508511860.7,2.413532756
April,84095505.14,148269682.2,147264435.5,87223688.13,1368576000,2716.874886,6087158535,2989.402122,6053301219,3595.120451,9767607820,2134.333916,5962626319,738196.2158,2.81E-08
May,92593598.65,160021079,161012553,94422198.76,1573862400,1345.737606,7763998576,1324.625425,8445793698,1435.755381,10614868767,893.2752069,7652282295,8.43E-06,322867415.3
June,88800834.54,156003241.2,157203944.3,91840599.18,1505433600,1.15E-04,7828797524,1.15E-04,9377882883,1.33E-04,10583806726,1.21E-04,8433266909,2.33E-05,1016966017
July,83892926.87,144470645.1,145010798.8,85084315.47,1437004800,1.24E-04,9321820937,1.29E-04,10846648120,1.58E-04,12658774583,1.31E-04,9322655746,3.18E-05,1695022085
August,94217611.99,161683754.3,162150521.3,95749117.61,1573862400,8.27E-05,8610472605,6.98E-05,9957194565,1.22E-04,13519640595,8.01E-05,8614602204,2.62E-05,1514184084
September,96376613.42,165241889.1,158860104.7,94894050.73,1437004800,248.8161099,7303244043,311.2033857,7799777145,448.2199761,13685550506,252.9922104,7044574024,2.27E-05,815982647.1
October,173937185.4,336222977.2,283812305.6,173929858.3,1505433600,3302.68892,5520050095,4590.683972,6094682803,5834.399504,13206155841,3130.632238,5314780704,4.03E-06,153823838.1
November,269051919.1,500243796.2,428936131.8,258249846.5,1505433600,4569.693026,3551749221,5967.206609,4241158170,9039.53409,11047729801,4233.082386,3740761038,101618689.7,2.005438768
December,316110094.3,614539558.9,489034803,302027802.2,1437004800,290.4726394,2649196679,432.0991875,3002832318,637.2472716,10052821580,294.6571226,2739887133,841861290.2,1.215166544
