Date/Time,Cooling,Heating
 01/01  01:00:00,0.00,3.28
 01/01  02:00:00,0.00,3.98
 01/01  03:00:00,0.00,4.41
 01/01  04:00:00,0.00,4.63
 01/01  05:00:00,0.00,4.75
 01/01  06:00:00,0.00,4.87
 01/01  07:00:00,0.00,5.04
 01/01  08:00:00,0.00,18.96
 01/01  09:00:00,0.00,15.41
 01/01  10:00:00,0.00,11.48
 01/01  11:00:00,0.00,10.01
 01/01  12:00:00,0.00,8.89
 01/01  13:00:00,0.00,8.41
 01/01  14:00:00,0.00,7.91
 01/01  15:00:00,0.00,7.66
 01/01  16:00:00,0.00,7.81
 01/01  17:00:00,0.00,8.38
 01/01  18:00:00,0.00,8.75
 01/01  19:00:00,0.00,8.70
 01/01  20:00:00,0.00,9.16
 01/01  21:00:00,0.00,8.99
 01/01  22:00:00,0.00,0.35
 01/01  23:00:00,0.00,2.03
 01/01  24:00:00,0.00,2.91
 01/02  01:00:00,0.00,3.34
 01/02  02:00:00,0.00,3.64
 01/02  03:00:00,0.00,3.83
 01/02  04:00:00,0.00,4.13
 01/02  05:00:00,0.00,4.24
 01/02  06:00:00,0.00,17.83
 01/02  07:00:00,0.00,15.96
 01/02  08:00:00,0.00,13.56
 01/02  09:00:00,0.00,12.58
 01/02  10:00:00,0.00,11.93
 01/02  11:00:00,0.00,0.75
 01/02  12:00:00,0.00,3.01
 01/02  13:00:00,0.00,3.33
 01/02  14:00:00,0.00,3.73
 01/02  15:00:00,0.00,4.08
 01/02  16:00:00,0.00,17.44
 01/02  17:00:00,0.00,17.30
 01/02  18:00:00,0.00,14.34
 01/02  19:00:00,0.00,13.24
 01/02  20:00:00,0.00,11.55
 01/02  21:00:00,0.00,11.31
 01/02  22:00:00,0.00,11.23
 01/02  23:00:00,0.00,11.74
 01/02  24:00:00,0.00,11.78
 01/03  01:00:00,0.00,1.04
 01/03  02:00:00,0.00,3.80
 01/03  03:00:00,0.00,4.47
 01/03  04:00:00,0.00,5.06
 01/03  05:00:00,0.00,5.27
 01/03  06:00:00,0.00,19.40
 01/03  07:00:00,0.00,17.48
 01/03  08:00:00,0.00,15.34
 01/03  09:00:00,0.00,13.99
 01/03  10:00:00,0.00,12.95
 01/03  11:00:00,0.00,0.92
 01/03  12:00:00,0.00,2.96
 01/03  13:00:00,0.00,2.66
 01/03  14:00:00,0.00,3.59
 01/03  15:00:00,0.00,3.28
 01/03  16:00:00,0.00,16.80
 01/03  17:00:00,0.00,15.44
 01/03  18:00:00,0.00,13.27
 01/03  19:00:00,0.00,12.84
 01/03  20:00:00,0.00,10.68
 01/03  21:00:00,0.00,10.97
 01/03  22:00:00,0.00,11.28
 01/03  23:00:00,0.00,11.38
 01/03  24:00:00,0.00,12.73
 01/04  01:00:00,0.00,2.23
 01/04  02:00:00,0.00,5.20
 01/04  03:00:00,0.00,6.29
 01/04  04:00:00,0.00,7.38
 01/04  05:00:00,0.00,8.13
 01/04  06:00:00,0.00,23.48
 01/04  07:00:00,0.00,20.66
 01/04  08:00:00,0.00,20.05
 01/04  09:00:00,0.00,18.24
 01/04  10:00:00,0.00,15.14
 01/04  11:00:00,0.00,0.99
 01/04  12:00:00,0.00,2.50
 01/04  13:00:00,0.00,0.89
 01/04  14:00:00,0.00,0.08
 01/04  15:00:00,0.00,0.00
 01/04  16:00:00,0.00,14.65
 01/04  17:00:00,0.00,12.92
 01/04  18:00:00,0.00,12.10
 01/04  19:00:00,0.00,12.17
 01/04  20:00:00,0.00,11.02
 01/04  21:00:00,0.00,11.19
 01/04  22:00:00,0.00,11.13
 01/04  23:00:00,0.00,11.66
 01/04  24:00:00,0.00,12.28
 01/05  01:00:00,0.00,1.72
 01/05  02:00:00,0.00,4.83
 01/05  03:00:00,0.00,6.06
 01/05  04:00:00,0.00,7.35
 01/05  05:00:00,0.00,8.00
 01/05  06:00:00,0.00,23.77
 01/05  07:00:00,0.00,21.39
 01/05  08:00:00,0.00,21.59
 01/05  09:00:00,0.00,19.29
 01/05  10:00:00,0.00,15.93
 01/05  11:00:00,0.00,0.26
 01/05  12:00:00,0.00,0.06
 01/05  13:00:00,0.00,0.00
 01/05  14:00:00,0.00,0.00
 01/05  15:00:00,0.00,0.00
 01/05  16:00:00,0.00,13.33
 01/05  17:00:00,0.00,12.67
 01/05  18:00:00,0.00,11.83
 01/05  19:00:00,0.00,11.96
 01/05  20:00:00,0.00,10.41
 01/05  21:00:00,0.00,10.47
 01/05  22:00:00,0.00,11.14
 01/05  23:00:00,0.00,11.84
 01/05  24:00:00,0.00,12.13
 01/06  01:00:00,0.00,2.06
 01/06  02:00:00,0.00,5.46
 01/06  03:00:00,0.00,6.16
 01/06  04:00:00,0.00,6.59
 01/06  05:00:00,0.00,7.55
 01/06  06:00:00,0.00,23.31
 01/06  07:00:00,0.00,21.07
 01/06  08:00:00,0.00,20.30
 01/06  09:00:00,0.00,16.99
 01/06  10:00:00,0.00,13.36
 01/06  11:00:00,0.00,0.00
 01/06  12:00:00,0.00,0.00
 01/06  13:00:00,0.00,0.00
 01/06  14:00:00,0.00,0.00
 01/06  15:00:00,0.00,0.00
 01/06  16:00:00,0.00,12.57
 01/06  17:00:00,0.00,11.38
 01/06  18:00:00,0.00,9.35
